English;Indonesia
purpose;tujuan
several;beberapa
prevent;mencegah
instill;menanamkan
suggested;menyarankan
incredibly;luar biasa
proposed;diajukan
reliable;dapat diandalkan
tone;nada
indeferent;tidak sopan
diferent;berbeda
suggestive;bernada
according;menurut
teach;mengajar
spending;pengeluaran
immediately;langsung
necessary;diperlukan
thing;benda
must;harus
future;masa depan
leisure;santai
their;milik mereka
encourage;mendorong
advancenment;kemajuan
diverse;beragam
least;paling sedikit
leading;terkemuka
skeptical;skeptis
conveying;menyampaikan
facial;wajah
closest meaning;arti terdekat
calm;tenang
evoke;membangkitkan
suppress;menekan
trigger;pemicu
deaden;menghilangkan
arouse;membangkitkan
concern;kekhawatiran
compaison;perbandingan
between;di antara
impact;dampak
belief;keyakinan
evidence;bukti
wild life;kehidupan liar
ability;kemampuan
observe;mengamati
vibrations;getaran
regarding;tentang
belived;percaya
disesters;bencana
recent;terkini
storm;badai
addition;tambahan
moreover;lebih-lebih lagi
inferred;menyimpulkan
improving;membaik
